Count,Time,ResponseCode,Duration,Mem,Cpu
491,1419925176915,200,209,521003008,5
1268,1419925762676,200,209,524128256,5
1841,1419926159489,200,209,524161024,3
537,1419925211334,200,208,521060352,8
1736,1419926083262,200,208,524611584,5
1265,1419925760619,200,208,524128256,4
1738,1419926084597,200,208,524611584,4
240,1419924979344,200,208,522248192,3
941,1419925517184,200,207,525418496,8
1239,1419925743796,200,207,524324864,7
81,1419924857022,200,207,521289728,6
1884,1419926201129,200,207,524083200,6
1730,1419926078759,200,206,524611584,7
997,1419925558032,200,206,525328384,5
1906,1419926216780,200,206,523956224,5
903,1419925490557,200,206,522043392,3
262,1419925011005,200,205,521867264,7
133,1419924892723,200,205,521199616,6
366,1419925084117,200,205,521478144,6
1781,1419926114001,200,205,524328960,6
586,1419925245703,200,205,521007104,5
1553,1419925960619,200,205,525008896,5
488,1419925174828,200,204,521097216,9
653,1419925298240,200,204,520691712,7
1037,1419925587227,200,204,525070336,6
1840,1419926158771,200,204,524161024,6
625,1419925277499,200,204,520765440,5
1346,1419925815610,200,204,525930496,4
1393,1419925850188,200,203,525496320,8
1244,1419925747077,200,203,523915264,7
1355,1419925823164,200,203,525688832,7
363,1419925082015,200,203,521478144,6
664,1419925306149,200,203,520769536,6
354,1419925075623,200,203,521568256,5
1892,1419926206693,200,203,524083200,5
49,1419924834357,200,203,521428992,4
1221,1419925731614,200,203,524455936,4
1665,1419926034607,200,203,524726272,4
755,1419925382204,200,202,520953856,6
185,1419924935732,200,202,522485760,5
1099,1419925637928,200,201,524656640,6
1176,1419925698728,200,201,524455936,5
1321,1419925799207,200,200,524128256,7
1214,1419925727027,200,200,524455936,6
1109,1419925645827,200,200,524656640,5
1009,1419925566632,200,200,524963840,4
1039,1419925588576,200,200,525070336,3
1361,1419925827155,200,199,525434880,8
1404,1419925857263,200,199,525463552,8
668,1419925308910,200,199,520802304,7
769,1419925391345,200,199,520765440,7
338,1419925064867,200,199,521609216,6
1357,1419925824496,200,199,525561856,6
1984,1419926287894,200,199,524984320,6
1224,1419925733655,200,199,524455936,5
1253,1419925752690,200,199,524132352,5
680,1419925316376,200,199,520802304,4
1084,1419925627471,200,199,524513280,4
525,1419925200605,200,199,521097216,3
1068,1419925615609,200,199,524800000,3
1517,1419925935189,200,198,524976128,8
917,1419925500201,200,198,525336576,7
1366,1419925831061,200,198,525430784,6
1965,1419926267176,200,198,523931648,6
856,1419925453280,200,198,522174464,5
641,1419925288645,200,198,520769536,4
295,1419925035361,200,198,521605120,3
1634,1419926013438,200,198,524726272,2
826,1419925430856,200,197,522055680,6
1034,1419925585315,200,197,525070336,6
1628,1419926009535,200,197,524726272,5
416,1419925118632,200,197,521396224,4
750,1419925379036,200,196,520953856,6
529,1419925203639,200,196,521105408,4
1752,1419926094617,200,196,524611584,3
1790,1419926121488,200,196,524161024,3
1344,1419925814052,200,195,525500416,8
1296,1419925781913,200,195,524128256,6
230,1419924972628,200,195,522248192,5
1174,1419925697423,200,195,524328960,3
1936,1419926241384,200,195,523931648,3
1279,1419925770218,200,194,524128256,8
1977,1419926275987,200,194,524963840,8
1438,1419925879174,200,194,525279232,7
1635,1419926014152,200,194,524726272,6
1312,1419925793657,200,194,524128256,5
886,1419925477574,200,194,522174464,3
855,1419925452571,200,194,522047488,2
1688,1419926049707,200,193,524333056,7
1869,1419926191233,200,193,524079104,7
1207,1419925721695,200,193,524455936,6
396,1419925104699,200,193,521396224,5
599,1419925255556,200,193,521056256,4
490,1419925176207,200,192,520970240,8
1684,1419926047045,200,192,524369920,7
996,1419925557326,200,192,525328384,5
51,1419924835622,200,192,521428992,3
907,1419925493328,200,191,522043392,4
331,1419925060586,200,191,521609216,3
127,1419924888936,200,190,521199616,7
1509,1419925929567,200,190,524865536,4
1969,1419926269860,200,189,523931648,7
273,1419925018199,200,189,521740288,6
405,1419925111181,200,189,521396224,6
1523,1419925939597,200,189,524976128,4
1895,1419926208664,200,189,524083200,4
281,1419925024048,200,188,521740288,7
656,1419925300428,200,188,520769536,4
589,1419925247574,200,188,521007104,3
369,1419925086183,200,187,521527296,7
1804,1419926130772,200,187,524296192,7
1746,1419926090641,200,187,524611584,4
498,1419925181804,200,186,521003008,6
954,1419925527225,200,185,525414400,6
120,1419924884038,200,185,521199616,5
891,1419925482176,200,184,522170368,6
1106,1419925643807,200,184,524656640,6
1596,1419925989493,200,184,524619776,4
582,1419925242983,200,183,521007104,6
1131,1419925661288,200,183,524656640,5
1951,1419926252039,200,182,523931648,8
970,1419925539732,200,182,525328384,7
2,1419924799903,200,182,518991872,5
204,1419924952551,200,182,522358784,4
861,1419925456468,200,182,522174464,4
1337,1419925809426,200,181,525090816,7
274,1419925018906,200,181,521740288,6
611,1419925266216,200,181,520695808,6
1694,1419926053807,200,181,524611584,6
1334,1419925807362,200,181,523653120,5
1149,1419925678371,200,181,524656640,4
124,1419924886986,200,180,521199616,7
1284,1419925774126,200,180,524128256,6
781,1419925399336,200,180,520790016,5
52,1419924836327,200,180,521428992,4
