Duration,Mem,Cpu
193,714223616,5
187,715616256,5
157,713351168,5
156,715239424,5
156,713117696,5
153,715739136,5
153,713244672,5
152,715231232,5
152,713981952,5
149,716730368,5
147,714469376,5
143,713510912,5
142,713232384,5
141,713854976,5
141,713637888,5
138,715239424,5
135,716369920,5
134,715239424,5
131,715366400,5
129,711237632,5
126,713351168,5
118,713543680,5
117,713396224,5
116,713969664,5
111,715866112,5
109,716099584,5
109,713244672,5
108,714354688,5
108,713863168,5
105,711245824,5
103,713396224,5
102,715366400,5
100,713396224,5
99,713523200,5
96,715362304,5
95,712892416,5
94,713736192,5
94,713469952,5
93,714600448,5
93,712863744,5
92,713162752,5
92,711110656,5
92,714346496,5
91,711245824,5
91,714858496,5
90,715608064,5
90,714473472,5
88,715988992,5
88,715739136,5
88,712978432,5
87,716603392,5
86,711237632,5
86,713633792,5
85,714985472,5
85,713244672,5
84,713371648,5
83,714354688,5
82,713396224,5
80,715362304,5
80,713232384,5
79,713498624,5
78,713990144,5
78,713637888,5
77,713351168,5
76,712380416,5
76,716361728,5
74,713289728,5
74,713244672,5
73,714862592,5
73,713236480,5
71,716369920,5
70,714600448,5
70,714113024,5
70,713359360,5
70,713015296,5
69,714473472,5
69,713969664,5
69,713986048,5
69,713863168,5
68,714072064,5
67,715239424,5
67,714600448,5
67,713117696,5
66,714473472,5
66,713990144,5
66,713007104,5
66,713379840,5
65,716603392,5
65,715227136,5
65,715366400,5
65,714739712,5
65,714223616,5
65,713244672,5
64,712884224,5
64,716226560,5
64,713961472,5
64,714096640,5
64,713854976,5
64,713383936,5
63,712503296,5
63,716603392,5
63,715239424,5
62,713244672,5
60,716349440,5
59,715231232,5
59,714096640,5
59,713396224,5
58,712757248,5
58,716103680,5
57,715235328,5
57,714985472,5
57,714862592,5
57,714223616,5
57,713232384,5
57,713105408,5
57,712986624,5
57,712863744,5
56,714334208,5
56,713486336,5
55,716103680,5
55,714350592,5
54,715988992,5
54,715235328,5
54,714223616,5
54,713117696,5
54,713244672,5
54,713371648,5
54,712990720,5
53,715112448,5
53,714350592,5
53,713854976,5
53,713117696,5
53,713510912,5
52,713510912,5
51,712495104,5
51,711110656,5
51,715612160,5
51,715358208,5
51,714350592,5
51,713256960,5
50,712126464,5
50,716242944,5
49,713162752,5
49,715108352,5
49,715235328,5
49,713863168,5
49,713351168,5
48,713162752,5
48,713265152,5
48,716353536,5
48,714952704,5
48,714350592,5
48,713736192,5
48,713359360,5
48,713371648,5
48,713371648,5
48,713396224,5
48,713396224,5
47,712376320,5
47,715489280,5
47,715235328,5
47,714113024,5
47,713990144,5
47,713736192,5
46,715108352,5
46,712376320,5
46,713289728,5
46,715976704,5
46,716242944,5
46,715231232,5
46,715485184,5
46,714072064,5
46,713396224,5
45,712126464,5
45,713543680,5
45,715231232,5
45,714350592,5
45,714723328,5
45,714600448,5
45,714350592,5
45,713711616,5
44,716115968,5
44,716242944,5
44,715583488,5
44,715612160,5
44,714350592,5
44,714223616,5
44,713854976,5
44,713478144,5
44,713510912,5
43,713822208,5
43,716476416,5
43,716230656,5
43,715612160,5
43,715366400,5
43,715366400,5
43,714469376,5
43,714723328,5
43,714600448,5
43,714473472,5
43,713736192,5
43,713736192,5
43,713244672,5
43,713396224,5
43,713269248,5
43,713015296,5
42,712630272,5
42,714862592,5
42,714989568,5
42,714596352,5
42,714063872,5
42,714223616,5
42,714096640,5
42,713486336,5
41,714981376,5
41,713764864,5
41,716476416,5
41,716603392,5
41,716361728,5
41,716361728,5
41,716115968,5
41,715489280,5
41,714469376,5
41,714219520,5
41,713863168,5
41,713351168,5
41,713510912,5
41,713396224,5
40,715108352,5
40,715616256,5
40,715366400,5
40,714727424,5
40,713736192,5
40,713367552,5
40,713396224,5
40,713396224,5
40,713515008,5
40,713396224,5
39,713162752,5
39,713293824,5
39,716603392,5
39,716488704,5
39,715362304,5
39,715235328,5
39,714735616,5
39,714727424,5
39,713736192,5
39,713625600,5
39,713371648,5
39,713256960,5
38,713289728,5
38,716476416,5
38,715988992,5
38,715231232,5
38,713498624,5
38,712863744,5
38,712863744,5
38,712863744,5
37,715235328,5
37,712495104,5
37,712380416,5
37,713416704,5
37,715489280,5
37,714604544,5
37,714727424,5
37,714215424,5
37,714342400,5
37,714215424,5
37,714215424,5
37,714190848,5
37,714473472,5
37,713854976,5
37,713318400,5
37,714014720,5
37,713256960,5
37,713003008,5
36,714043392,5
36,711364608,5
36,713416704,5
36,716603392,5
36,716222464,5
36,715608064,5
36,715485184,5
36,714350592,5
36,714469376,5
36,714096640,5
36,714240000,5
36,713605120,5
36,713478144,5
36,713371648,5
36,713510912,5
36,713256960,5
36,713269248,5
35,714727424,5
35,712376320,5
35,712376320,5
35,713416704,5
35,713416704,5
35,713293824,5
35,715231232,5
35,715112448,5
35,714862592,5
35,714596352,5
35,714334208,5
35,714346496,5
35,713854976,5
35,713388032,5
35,713531392,5
34,713764864,5
34,712630272,5
34,712376320,5
34,716361728,5
34,715988992,5
34,715362304,5
34,715239424,5
34,715231232,5
34,714219520,5
34,713728000,5
34,713736192,5
33,712503296,5
33,715366400,5
33,715358208,5
33,714702848,5
33,713224192,5
33,713478144,5
33,713383936,5
33,713003008,5
33,713396224,5
33,713523200,5
32,713416704,5
32,716230656,5
32,715612160,5
32,715739136,5
32,715866112,5
32,715603968,5
32,715108352,5
32,715235328,5
32,715235328,5
32,715112448,5
32,714854400,5
